symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
1476,TPE,"Eclat Textile Co., Ltd.",1476,32127,YES,TW,price/TPE/1476.TW.csv,YES,desc/TPE/1476.txt
1476,HKG,Hengtai Securities Co Ltd,1476,32127,YES,HK,price/HKG/1476.HK.csv,YES,desc/HKG/1476.txt
1476,TYO,BLACKROCK JAPAN ISHARES JAPAN REIT ETF,1476,32127,No,,,No,
4799,TYO,AGREX Inc.,4799,32130,No,,,YES,desc/TYO/4799.txt
601877,SHA,"Zhejiang Chint Electrics Co., Ltd",601877,32131,YES,SS,price/SHA/601877.SS.csv,YES,desc/SHA/601877.txt
5DD,SGX,Micro-Mechanics (Holdings) Ltd,5DD,32136,No,,,YES,desc/SGX/5DD.txt
5DD,FRA,DUNNEDIN VENTURES INC.,5DD,32136,YES,F,price/FRA/5DD.F.csv,No,
600288,SHA,"Daheng New Epoch Technology, Inc.",600288,32139,YES,SS,price/SHA/600288.SS.csv,YES,desc/SHA/600288.txt
600260,SHA,"Kaile Science and Tech. Co.,Ltd. Hubei",600260,32146,YES,SS,price/SHA/600260.SS.csv,YES,desc/SHA/600260.txt
9142,TYO,Kyushu Railway Co,9142,32150,No,,,YES,desc/TYO/9142.txt
600300,SHA,V V Food & Beverage Co Ltd,600300,32152,YES,SS,price/SHA/600300.SS.csv,YES,desc/SHA/600300.txt
600390,SHA,Minmetals Capital Co Ltd,600390,32153,YES,SS,price/SHA/600390.SS.csv,YES,desc/SHA/600390.txt
600503,SHA,"Deluxe Family Co., Ltd.",600503,32157,YES,SS,price/SHA/600503.SS.csv,YES,desc/SHA/600503.txt
600248,SHA,Shaanxi Yanchang Petro Chem. Eng. Co Ltd,600248,32159,YES,SS,price/SHA/600248.SS.csv,YES,desc/SHA/600248.txt
4318,TYO,"QUICK CO., LTD.",4318,32163,No,,,YES,desc/TYO/4318.txt
7819,TYO,SHO-BI Corp,7819,32165,No,,,YES,desc/TYO/7819.txt
LSLI,LON,London and ST. Lawrence Investment Co.,LSLI,32167,No,,,YES,desc/LON/LSLI.txt
SDR,NYSE,SandRidge Mississippian Trust II,SDR,32169,YES,NYSE,price/NYSE/SDR.csv,YES,desc/NYSE/SDR.txt
SDR,LON,Schroders plc,SDR,32169,YES,L,price/LON/SDR.L.csv,YES,desc/LON/SDR.txt
SDR,CVE,Stroud Resources Ltd.,SDR,32169,YES,V,price/CVE/SDR.V.csv,YES,desc/CVE/SDR.txt
4575,TYO,CanBas Co Ltd,4575,32170,No,,,YES,desc/TYO/4575.txt
3154,TYO,Medius Holdings Co Ltd,3154,32185,No,,,YES,desc/TYO/3154.txt
